,partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
14625,7318,6,Fortaleza,10,5,37.0,286,73.0,15,1,0,2,2
14626,7319,6,Palmeiras,17,5,53.0,446,81.0,13,3,0,1,10
14627,7319,6,Bragantino,12,6,47.0,428,82.0,13,3,0,1,5
14628,7316,6,Atletico-GO,9,2,49.0,390,82.0,22,3,0,0,6
14629,7316,6,Fluminense,3,2,51.0,394,80.0,17,3,0,4,5
14630,7320,6,Juventude,8,3,46.0,408,82.0,16,2,0,1,3
14631,7320,6,America-MG,12,2,54.0,459,84.0,17,1,1,0,8
14632,7322,6,Sport,9,3,49.0,475,84.0,17,3,0,0,5
14633,7322,6,Corinthians,16,3,51.0,502,86.0,8,0,0,1,4
14634,7321,6,Internacional,25,11,47.0,345,77.0,19,3,2,3,9
14635,7321,6,Chapecoense,11,5,53.0,366,78.0,12,2,1,2,9
14636,7323,6,Atletico-MG,16,6,67.0,541,84.0,16,4,0,5,7
14637,7323,6,Ceara,16,8,33.0,262,67.0,16,3,0,1,6
14638,7325,6,Santos,6,3,53.0,483,84.0,14,3,0,2,1
14639,7325,6,Gremio,19,6,47.0,415,81.0,21,2,0,2,7
14640,7324,6,Athletico-PR,9,4,30.0,256,64.0,8,1,2,1,2
14641,7324,6,Bahia,20,7,70.0,577,86.0,12,2,0,3,9
14642,7326,7,Flamengo,13,2,65.0,510,72.0,12,1,0,1,10
14643,7326,7,Juventude,8,4,35.0,284,51.0,17,2,0,4,5
14644,7327,7,Fluminense,15,5,46.0,449,85.0,14,3,1,1,8
14645,7327,7,Corinthians,10,4,54.0,535,86.0,11,1,0,0,5
14646,7329,7,Chapecoense,12,5,38.0,313,72.0,15,1,0,2,5
14647,7329,7,Athletico-PR,18,5,62.0,519,84.0,12,1,0,0,6
14648,7330,7,Fortaleza,15,6,42.0,301,72.0,12,4,0,3,5
14649,7330,7,Gremio,18,5,58.0,398,81.0,13,2,1,1,10
14650,7328,7,Bahia,18,4,42.0,331,74.0,16,4,0,1,7
14651,7328,7,Palmeiras,19,8,58.0,437,80.0,10,3,0,6,7
14652,7331,7,Santos,11,6,49.0,406,79.0,20,4,0,1,4
14653,7331,7,Atletico-MG,11,3,51.0,408,78.0,16,2,1,4,6
14654,7332,7,America-MG,13,6,40.0,309,72.0,16,2,0,1,5
14655,7332,7,Internacional,10,3,60.0,474,79.0,20,3,0,0,5
14656,7334,7,Ceara,18,7,36.0,268,69.0,20,4,0,1,3
